[Thu May 28 10:08:10 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: result, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 78
[Thu May 28 10:11:22 2020] [NOTICE] [MX_Controller->__get] -> Undefined property: CI::$model, FILE: C:\xampp\htdocs\sos\application\third_party\MX\Controller.php, LINE: 59
[Thu May 28 10:11:22 2020] [ERROR] [] -> Uncaught exception: [0] Call to a member function get_data_list() on null
#0 C:\xampp\htdocs\sos\system\core\CodeIgniter.php(514): Order_list->get_data_list()
#1 C:\xampp\htdocs\sos\index.php(293): require_once('C:\\xampp\\htdocs...')
#2 {main}, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 71
[Thu May 28 10:11:37 2020] [NOTICE] [MX_Controller->__get] -> Undefined property: CI::$model, FILE: C:\xampp\htdocs\sos\application\third_party\MX\Controller.php, LINE: 59
[Thu May 28 10:11:37 2020] [ERROR] [] -> Uncaught exception: [0] Call to a member function get_data_list() on null
#0 C:\xampp\htdocs\sos\system\core\CodeIgniter.php(514): Order_list->get_data_list()
#1 C:\xampp\htdocs\sos\index.php(293): require_once('C:\\xampp\\htdocs...')
#2 {main}, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 71
[Thu May 28 10:12:31 2020] [WARNING] [Order_list->get_data_list] -> count(): Parameter must be an array or an object that implements Countable, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 74
[Thu May 28 10:12:31 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: params, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 76
[Thu May 28 10:12:31 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: result, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 78
[Thu May 28 10:12:47 2020] [WARNING] [Order_list->get_data_list] -> count(): Parameter must be an array or an object that implements Countable, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 74
[Thu May 28 10:12:47 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: params, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 76
[Thu May 28 10:12:47 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: result, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 78
[Thu May 28 10:14:26 2020] [NOTICE] [include] -> Undefined variable: security, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 22
[Thu May 28 10:14:28 2020] [WARNING] [Order_list->get_data_list] -> count(): Parameter must be an array or an object that implements Countable, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 74
[Thu May 28 10:14:28 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: params, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 76
[Thu May 28 10:14:28 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: result, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 78
[Thu May 28 10:16:07 2020] [NOTICE] [include] -> Undefined variable: statistics, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 10
[Thu May 28 10:16:07 2020] [NOTICE] [include] -> Undefined variable: statistics, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 11
[Thu May 28 10:16:07 2020] [NOTICE] [include] -> Undefined variable: statistics, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 12
[Thu May 28 10:16:07 2020] [NOTICE] [include] -> Undefined variable: add_per, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 30
[Thu May 28 10:16:07 2020] [NOTICE] [include] -> Undefined variable: download_per, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 41
[Thu May 28 10:16:07 2020] [NOTICE] [include] -> Undefined variable: import_per, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 50
[Thu May 28 10:16:07 2020] [NOTICE] [include] -> Undefined variable: security, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 114
[Thu May 28 10:16:34 2020] [NOTICE] [include] -> Undefined variable: active, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 7
[Thu May 28 10:16:34 2020] [NOTICE] [include] -> Undefined variable: inactive, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 8
[Thu May 28 10:16:34 2020] [NOTICE] [include] -> Undefined variable: blocked, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 9
[Thu May 28 10:16:34 2020] [NOTICE] [include] -> Undefined variable: add_per, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 16
[Thu May 28 10:16:34 2020] [NOTICE] [include] -> Undefined variable: download_per, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 27
