[Fri May 29 13:07:37 2020] [WARNING] [include] -> Invalid argument supplied for foreach(), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 27
[Fri May 29 13:07:37 2020] [NOTICE] [include] -> Undefined variable: maintainer_flag_check, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 66
[Fri May 29 13:07:37 2020] [NOTICE] [include] -> Undefined variable: default_role_sign_up_flag_check, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 70
[Fri May 29 13:08:08 2020] [WARNING] [Order_list->process_modal] -> Use of undefined constant JS_FORMDEFAULTVALUE - assumed 'JS_FORMDEFAULTVALUE' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 209
[Fri May 29 13:08:08 2020] [NOTICE] [include] -> Undefined variable: role_code, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 2
[Fri May 29 13:08:08 2020] [NOTICE] [include] -> Undefined variable: salt, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 3
[Fri May 29 13:08:08 2020] [NOTICE] [include] -> Undefined variable: token, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 4
[Fri May 29 13:08:08 2020] [NOTICE] [include] -> Undefined variable: system_json, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 5
[Fri May 29 13:08:08 2020] [NOTICE] [include] -> Undefined variable: role_code, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 10
[Fri May 29 13:08:08 2020] [NOTICE] [include] -> Undefined variable: disabled, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 10
[Fri May 29 13:08:08 2020] [NOTICE] [include] -> Undefined variable: role_name, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 16
[Fri May 29 13:08:08 2020] [NOTICE] [include] -> Undefined variable: systems, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 27
[Fri May 29 13:08:08 2020] [WARNING] [include] -> Invalid argument supplied for foreach(), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 27
[Fri May 29 13:08:08 2020] [NOTICE] [include] -> Undefined variable: maintainer_flag_check, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 66
[Fri May 29 13:08:08 2020] [NOTICE] [include] -> Undefined variable: default_role_sign_up_flag_check, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 70
[Fri May 29 13:10:05 2020] [WARNING] [Order_list->process_modal] -> Use of undefined constant JS_FORMDEFAULTVALUE - assumed 'JS_FORMDEFAULTVALUE' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 209
[Fri May 29 13:10:05 2020] [NOTICE] [include] -> Undefined variable: role_name, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 11
[Fri May 29 13:10:05 2020] [NOTICE] [include] -> Undefined variable: systems, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 22
[Fri May 29 13:10:05 2020] [WARNING] [include] -> Invalid argument supplied for foreach(), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 22
[Fri May 29 13:10:05 2020] [NOTICE] [include] -> Undefined variable: maintainer_flag_check, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 61
[Fri May 29 13:10:05 2020] [NOTICE] [include] -> Undefined variable: default_role_sign_up_flag_check, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 65
[Fri May 29 13:11:59 2020] [WARNING] [Order_list->process_modal] -> Use of undefined constant JS_FORMDEFAULTVALUE - assumed 'JS_FORMDEFAULTVALUE' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 209
[Fri May 29 13:11:59 2020] [NOTICE] [include] -> Undefined variable: systems, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 25
[Fri May 29 13:11:59 2020] [WARNING] [include] -> Invalid argument supplied for foreach(), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 25
[Fri May 29 13:11:59 2020] [NOTICE] [include] -> Undefined variable: maintainer_flag_check, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 64
[Fri May 29 13:11:59 2020] [NOTICE] [include] -> Undefined variable: default_role_sign_up_flag_check, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 68
[Fri May 29 13:13:12 2020] [NOTICE] [include] -> Undefined variable: systems, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 25
[Fri May 29 13:13:12 2020] [WARNING] [include] -> Invalid argument supplied for foreach(), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 25
[Fri May 29 13:13:12 2020] [NOTICE] [include] -> Undefined variable: maintainer_flag_check, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 64
[Fri May 29 13:13:12 2020] [NOTICE] [include] -> Undefined variable: default_role_sign_up_flag_check, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 68
[Fri May 29 13:13:58 2020] [NOTICE] [include] -> Undefined variable: systems, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 25
[Fri May 29 13:13:58 2020] [WARNING] [include] -> Invalid argument supplied for foreach(), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 25
[Fri May 29 13:13:58 2020] [NOTICE] [include] -> Undefined variable: maintainer_flag_check, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 64
[Fri May 29 13:13:58 2020] [NOTICE] [include] -> Undefined variable: default_role_sign_up_flag_check, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 68
[Fri May 29 13:14:57 2020] [NOTICE] [include] -> Undefined variable: systems, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 25
[Fri May 29 13:14:57 2020] [WARNING] [include] -> Invalid argument supplied for foreach(), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 25
[Fri May 29 13:14:57 2020] [NOTICE] [include] -> Undefined variable: maintainer_flag_check, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 64
[Fri May 29 13:14:57 2020] [NOTICE] [include] -> Undefined variable: default_role_sign_up_flag_check, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 68
