[Sat May 30 23:22:48 2020] [EMERGENCY] [] -> Constant SOS_BUSINESS_RULES already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 44
[Sat May 30 23:22:48 2020] [EMERGENCY] [] -> Constant SOS_BUSINESS_RULES already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 44
[Sat May 30 23:22:54 2020] [EMERGENCY] [] -> Constant SOS_BUSINESS_RULES already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 44
[Sat May 30 23:22:54 2020] [EMERGENCY] [] -> Constant SOS_BUSINESS_RULES already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 44
[Sat May 30 23:22:54 2020] [EMERGENCY] [] -> Constant SOS_BUSINESS_RULES already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 44
[Sat May 30 23:22:54 2020] [EMERGENCY] [] -> Constant SOS_BUSINESS_RULES already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 44
[Sat May 30 23:22:54 2020] [EMERGENCY] [] -> Constant SOS_BUSINESS_RULES already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 44
[Sat May 30 23:22:54 2020] [EMERGENCY] [] -> Constant SOS_BUSINESS_RULES already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 44
[Sat May 30 23:22:54 2020] [EMERGENCY] [] -> Constant SOS_BUSINESS_RULES already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 44
[Sat May 30 23:22:54 2020] [EMERGENCY] [] -> Constant SOS_BUSINESS_RULES already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 44
[Sat May 30 23:22:54 2020] [EMERGENCY] [] -> Constant SOS_BUSINESS_RULES already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 44
[Sat May 30 23:22:54 2020] [EMERGENCY] [] -> Constant SOS_BUSINESS_RULES already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 44
[Sat May 30 23:22:54 2020] [EMERGENCY] [] -> Constant SOS_BUSINESS_RULES already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 44
[Sat May 30 23:22:54 2020] [EMERGENCY] [] -> Constant SOS_BUSINESS_RULES already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 44
[Sat May 30 23:22:56 2020] [EMERGENCY] [] -> Constant SOS_BUSINESS_RULES already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 44
[Sat May 30 23:22:56 2020] [EMERGENCY] [] -> Constant SOS_BUSINESS_RULES already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 44
[Sat May 30 23:22:56 2020] [EMERGENCY] [] -> Constant SOS_BUSINESS_RULES already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 44
[Sat May 30 23:22:56 2020] [EMERGENCY] [] -> Constant SOS_BUSINESS_RULES already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 44
[Sat May 30 23:22:56 2020] [EMERGENCY] [] -> Constant SOS_BUSINESS_RULES already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 44
[Sat May 30 23:22:56 2020] [EMERGENCY] [] -> Constant SOS_BUSINESS_RULES already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 44
[Sat May 30 23:22:56 2020] [EMERGENCY] [] -> Constant SOS_BUSINESS_RULES already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 44
[Sat May 30 23:22:56 2020] [EMERGENCY] [] -> Constant SOS_BUSINESS_RULES already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 44
[Sat May 30 23:22:56 2020] [EMERGENCY] [] -> Constant SOS_BUSINESS_RULES already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 44
[Sat May 30 23:22:56 2020] [EMERGENCY] [] -> Constant SOS_BUSINESS_RULES already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 44
[Sat May 30 23:22:56 2020] [EMERGENCY] [] -> Constant SOS_BUSINESS_RULES already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 44
[Sat May 30 23:22:56 2020] [EMERGENCY] [] -> Constant SOS_BUSINESS_RULES already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 44
[Sat May 30 23:23:38 2020] [EMERGENCY] [] -> Constant SOS_MODULE_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 56
[Sat May 30 23:23:38 2020] [EMERGENCY] [] -> Constant SOS_MODULE_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 56
[Sat May 30 23:23:38 2020] [EMERGENCY] [] -> Constant SOS_MODULE_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 56
[Sat May 30 23:23:38 2020] [EMERGENCY] [] -> Constant SOS_MODULE_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 56
[Sat May 30 23:23:38 2020] [EMERGENCY] [] -> Constant SOS_MODULE_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 56
[Sat May 30 23:23:38 2020] [EMERGENCY] [] -> Constant SOS_MODULE_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 56
[Sat May 30 23:23:38 2020] [EMERGENCY] [] -> Constant SOS_MODULE_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 56
[Sat May 30 23:23:38 2020] [EMERGENCY] [] -> Constant SOS_MODULE_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 56
[Sat May 30 23:23:38 2020] [EMERGENCY] [] -> Constant SOS_MODULE_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 56
[Sat May 30 23:23:38 2020] [EMERGENCY] [] -> Constant SOS_MODULE_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 56
[Sat May 30 23:23:38 2020] [EMERGENCY] [] -> Constant SOS_MODULE_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 56
[Sat May 30 23:23:38 2020] [EMERGENCY] [] -> Constant SOS_MODULE_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 56
[Sat May 30 23:24:28 2020] [EMERGENCY] [] -> Constant MODULE_DATA_ENTRY already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 56
[Sat May 30 23:24:28 2020] [EMERGENCY] [] -> Constant MODULE_DATA_ENTRY already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 56
[Sat May 30 23:24:28 2020] [EMERGENCY] [] -> Constant MODULE_DATA_ENTRY already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 56
[Sat May 30 23:24:28 2020] [EMERGENCY] [] -> Constant MODULE_DATA_ENTRY already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 56
[Sat May 30 23:24:28 2020] [EMERGENCY] [] -> Constant MODULE_DATA_ENTRY already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 56
[Sat May 30 23:24:28 2020] [EMERGENCY] [] -> Constant MODULE_DATA_ENTRY already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 56
[Sat May 30 23:24:28 2020] [EMERGENCY] [] -> Constant MODULE_DATA_ENTRY already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 56
[Sat May 30 23:24:28 2020] [EMERGENCY] [] -> Constant MODULE_DATA_ENTRY already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 56
[Sat May 30 23:24:28 2020] [EMERGENCY] [] -> Constant MODULE_DATA_ENTRY already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 56
[Sat May 30 23:24:28 2020] [EMERGENCY] [] -> Constant MODULE_DATA_ENTRY already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 56
[Sat May 30 23:24:28 2020] [EMERGENCY] [] -> Constant MODULE_DATA_ENTRY already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 56
[Sat May 30 23:24:28 2020] [EMERGENCY] [] -> Constant MODULE_DATA_ENTRY already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 56
[Sat May 30 23:25:18 2020] [EMERGENCY] [] -> Constant MODULE_DATA_ENTRY already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 56
[Sat May 30 23:25:18 2020] [EMERGENCY] [] -> Constant MODULE_DATA_ENTRY already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 56
[Sat May 30 23:25:18 2020] [EMERGENCY] [] -> Constant MODULE_DATA_ENTRY already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 56
[Sat May 30 23:25:18 2020] [EMERGENCY] [] -> Constant MODULE_DATA_ENTRY already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 56
[Sat May 30 23:25:18 2020] [EMERGENCY] [] -> Constant MODULE_DATA_ENTRY already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 56
[Sat May 30 23:25:18 2020] [EMERGENCY] [] -> Constant MODULE_DATA_ENTRY already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 56
[Sat May 30 23:25:18 2020] [EMERGENCY] [] -> Constant MODULE_DATA_ENTRY already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 56
[Sat May 30 23:25:18 2020] [EMERGENCY] [] -> Constant MODULE_DATA_ENTRY already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 56
[Sat May 30 23:25:18 2020] [EMERGENCY] [] -> Constant MODULE_DATA_ENTRY already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 56
[Sat May 30 23:25:18 2020] [EMERGENCY] [] -> Constant MODULE_DATA_ENTRY already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 56
[Sat May 30 23:25:18 2020] [EMERGENCY] [] -> Constant MODULE_DATA_ENTRY already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 56
[Sat May 30 23:25:18 2020] [EMERGENCY] [] -> Constant MODULE_DATA_ENTRY already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 56
[Sat May 30 23:26:08 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:26:08 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:26:08 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:26:08 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:26:08 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:26:08 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:26:08 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:26:08 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:26:08 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:26:08 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:26:08 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:26:08 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:26:58 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:26:58 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:26:58 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:26:58 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:26:58 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:26:58 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:26:58 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:26:58 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:26:58 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:26:58 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:26:58 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:26:58 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:27:48 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
